source,Degree
.net,8
agile,1
ajax,7
amazon-web-services,4
android,3
android-studio,1
angular,1
angular2,2
angularjs,13
apache,3
apache-spark,2
api,1
asp.net,13
asp.net-web-api,7
azure,5
bash,3
bootstrap,2
c,4
c#,14
c++,4
cloud,1
codeigniter,6
css,14
devops,3
django,3
docker,4
drupal,1
eclipse,1
elasticsearch,2
embedded,1
entity-framework,8
excel,2
excel-vba,2
express,5
flask,2
git,4
github,1
go,1
hadoop,2
haskell,1
hibernate,9
html,6
html5,10
ionic-framework,1
ios,6
iphone,4
java,8
java-ee,4
javascript,12
jenkins,4
jquery,16
json,4
jsp,4
laravel,4
less,3
linq,7
linux,10
machine-learning,2
matlab,1
maven,5
mongodb,8
mvc,1
mysql,11
nginx,3
node.js,7
objective-c,5
oracle,2
osx,4
perl,1
photoshop,1
php,10
plsql,2
postgresql,6
powershell,1
python,7
qt,1
r,3
react-native,3
reactjs,8
redis,4
redux,4
regex,1
rest,5
ruby,2
ruby-on-rails,2
sass,9
scala,3
selenium,1
shell,2
spring,9
spring-boot,3
spring-mvc,7
sql,5
sql-server,9
swift,4
tdd,1
testing,1
twitter-bootstrap,6
twitter-bootstrap-3,2
typescript,2
ubuntu,1
unity3d,1
unix,1
vb.net,3
vba,2
visual-studio,1
vue.js,1
wcf,8
web-services,3
windows,3
wordpress,6
wpf,6
xamarin,1
xcode,4
xml,1
